iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,8,0.233523,0.0942997,0.387654,0.0775709
1,50,8,0.233507,0.0944257,0.387853,0.0773717
2,50,8,0.233491,0.0945517,0.388052,0.0771726
3,50,8,0.233475,0.0946778,0.388251,0.0769734
4,50,8,0.233459,0.0948039,0.388451,0.0767742
5,50,8,0.233443,0.0949301,0.38865,0.0765751
6,50,8,0.233427,0.0950563,0.388849,0.076376
7,50,8,0.233411,0.0951826,0.389048,0.0761769
8,50,8,0.233396,0.095309,0.389247,0.0759778
9,50,8,0.23338,0.0954354,0.389447,0.0757789
10,50,8,0.233364,0.0955619,0.389646,0.0755799
11,50,8,0.233348,0.0956884,0.389845,0.0753811
12,50,8,0.233333,0.095815,0.390044,0.0751823
13,50,8,0.233317,0.0959416,0.390244,0.0749835
14,50,8,0.233301,0.0960682,0.390443,0.0747847
15,50,8,0.233286,0.096195,0.390642,0.0745859
16,50,8,0.23327,0.0963219,0.390842,0.0743872
17,50,8,0.233254,0.0964488,0.391041,0.0741885
18,50,8,0.233239,0.0965758,0.391241,0.0739899
19,50,8,0.233223,0.0967029,0.39144,0.0737913
20,50,8,0.233208,0.09683,0.39164,0.0735929
21,50,8,0.233192,0.0969571,0.391839,0.0733945
22,50,8,0.233177,0.0970842,0.392039,0.0731962
23,50,8,0.233162,0.0972113,0.392238,0.0729979
24,50,8,0.233146,0.0973384,0.392438,0.0727997
25,50,8,0.233131,0.0974655,0.392637,0.0726015
26,50,8,0.233116,0.0975926,0.392837,0.0724035
27,50,9,0.247299,0.100503,0.393037,0.0722055
28,50,9,0.247264,0.10059,0.393236,0.0720076
29,50,9,0.247228,0.100677,0.393436,0.0718099
30,50,9,0.247193,0.100764,0.393636,0.0716121
31,50,9,0.247157,0.100852,0.393836,0.0714145
32,50,9,0.247122,0.100939,0.394035,0.071217
33,50,9,0.247087,0.101026,0.394235,0.0710195
34,50,9,0.247051,0.101114,0.394435,0.0708222
35,50,9,0.247016,0.101202,0.394635,0.070625
36,50,9,0.246981,0.10129,0.394834,0.0704279
37,50,9,0.246945,0.101378,0.395034,0.0702308
38,50,9,0.24691,0.101466,0.395234,0.0700338
39,50,9,0.246875,0.101555,0.395434,0.0698369
40,50,9,0.24684,0.101643,0.395634,0.06964
